cv ci bv bi
-0.005 9.80 0.000 0.0
-0.003 129.87 0.000 0.0
0.001 254.87 0.000 0.0
0.003 348.50 0.000 0.0
0.003 477.78 0.000 0.0
0.000 586.47 0.000 0.0
0.002 714.38 0.000 0.0
0.010 817.00 0.000 0.0
0.011 943.54 0.000 0.0
0.013 1059.66 0.000 0.0
0.013 1186.84 0.000 0.0
0.013 1283.84 0.000 0.0
0.018 1417.36 0.000 0.0
0.020 1519.35 0.000 0.0
0.022 1643.72 0.000 0.0
0.021 1755.27 0.000 0.0
0.023 1879.17 0.000 0.0
0.024 1984.37 0.000 0.0
0.026 2110.34 0.000 0.0
0.027 2207.00 0.000 0.0
0.029 2345.44 0.000 0.0
0.033 2449.26 0.000 0.0
0.034 2575.75 0.000 0.0
0.034 2683.97 0.000 0.0
0.037 2798.38 0.000 0.0
0.037 2921.14 0.000 0.0
0.041 3038.41 0.000 0.0
0.043 3159.12 0.000 0.0
0.044 3262.36 0.000 0.0
0.045 3383.46 0.000 0.0
0.047 3495.01 0.000 0.0
0.047 3620.69 0.000 0.0
0.051 3743.75 0.000 0.0
0.052 3863.53 0.000 0.0
0.054 3979.09 0.000 0.0
0.055 4089.08 0.000 0.0
0.055 4205.78 0.000 0.0
0.057 4339.30 0.000 0.0
0.059 4434.88 0.000 0.0
0.062 4567.66 0.000 0.0
0.062 4683.04 0.000 0.0
0.066 4799.90 0.000 0.0
0.067 4912.02 0.000 0.0
0.067 5035.93 0.000 0.0
0.069 5127.68 0.000 0.0
0.071 5251.92 0.000 0.0
0.071 5366.21 0.000 0.0
0.075 5487.39 0.000 0.0
0.076 5620.11 0.000 0.0
0.076 5720.48 0.000 0.0
0.080 5850.68 0.000 0.0
0.081 5946.62 0.000 0.0
0.083 6073.39 0.000 0.0
0.084 6197.00 0.000 0.0
0.086 6318.15 0.000 0.0
0.088 6423.88 0.000 0.0
0.089 6539.32 0.000 0.0
0.091 6646.66 0.000 0.0
0.093 6771.26 0.000 0.0
0.095 6890.61 0.000 0.0
0.095 7016.87 0.000 0.0
0.097 7112.82 0.000 0.0
0.101 7246.69 0.000 0.0
0.102 7356.70 0.000 0.0
0.104 7480.56 0.000 0.0
0.106 7582.71 0.000 0.0
0.108 7696.58 0.000 0.0
0.108 7820.00 0.000 0.0
0.111 7947.41 0.000 0.0
0.114 8050.24 0.000 0.0
0.115 8177.91 0.000 0.0
0.116 8274.44 0.000 0.0
0.118 8396.73 0.000 0.0
0.118 8534.43 0.000 0.0
0.120 8642.87 0.000 0.0
0.123 8750.42 0.000 0.0
0.126 8869.13 0.000 0.0
0.127 8996.98 0.000 0.0
0.128 9087.61 0.000 0.0
0.128 9226.07 0.000 0.0
0.129 9320.45 0.000 0.0
0.133 9443.79 0.000 0.0
0.133 9564.59 0.000 0.0
0.136 9677.02 0.000 0.0
0.136 9783.75 0.000 0.0
0.140 9915.90 0.000 0.0
0.139 10026.98 0.000 0.0
0.143 10135.61 0.000 0.0
0.143 10255.58 0.000 0.0
0.144 10378.27 0.000 0.0
0.147 10484.78 0.000 0.0
0.149 10598.29 0.000 0.0
0.149 10706.55 0.000 0.0
0.150 10845.18 0.000 0.0
0.154 10938.91 0.000 0.0
0.154 11075.25 0.000 0.0
0.155 11185.02 0.000 0.0
0.157 11307.04 0.000 0.0
0.160 11426.94 0.000 0.0
